,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
141,2014 Skoda Rapid 1.6 TDI Active,noida,62200 km•  Diesel•   Lajpat Nagar,3.65,sedan,manual,dealer,first-owner,black,['2014'],['Skoda'],['Diesel'],['62200']
142,2008 Maruti Swift Dzire 1.2 Vxi BSIV,noida,41000 km•  Petrol•   Karol Bagh,1.8,sedan,manual,dealer,first-owner,black,['2008'],['Maruti'],['Petrol'],['41000']
143,2011 Honda Civic 1.8 V MT,noida,59000 km•  Petrol•   CBSE Preet Vihar,3.11,sedan,manual,dealer,first-owner,black,['2011'],['Honda'],['Petrol'],['59000']
144,2015 Chevrolet Cruze LT,noida,65000 km•  Diesel,5.2,sedan,manual,individual,first-owner,black,['2015'],['Chevrolet'],['Diesel'],['65000']
145,2013 Volkswagen Vento 1.5 TDI Highline,noida,68000 km•  Diesel•   Greater Kailash,3.25,sedan,manual,dealer,second-owner,black,['2013'],['Volkswagen'],['Diesel'],['68000']
146,2010 Maruti SX4 Vxi BSIV,noida,65000 km•  Petrol•   Subhash Nagar,1.9,sedan,manual,dealer,second-owner,black,['2010'],['Maruti'],['Petrol'],['65000']
147,2011 Mercedes-Benz New C-Class 220,noida,37000 km•  Diesel•   Vikas Puri,7.75,sedan,manual,dealer,second-owner,black,['2011'],['Mercedes-Benz'],['Diesel'],['37000']
148,2008 Mercedes-Benz New C-Class 200 Kompressor,noida,65000 km•  Petrol•   Karol Bagh,5.5,sedan,manual,dealer,second-owner,black,['2008'],['Mercedes-Benz'],['Petrol'],['65000']
149,2012 Hyundai Verna 1.4 CRDi,noida,58000 km•  Diesel•   Geeta Colony,3.5,sedan,manual,dealer,second-owner,black,['2012'],['Hyundai'],['Diesel'],['58000']
150,2013 Maruti Kizashi MT,noida,60000 km•  Petrol•   Vikas Puri,4.1,sedan,manual,dealer,second-owner,black,['2013'],['Maruti'],['Petrol'],['60000']
